LocationID,ACCESS2,ARTHRITIS,BINGE,CANCER,CASTHMA,CERVICAL,CHD,CHECKUP,COLON_SCREEN,COPD,COREM,COREW,CSMOKING,DENTAL,DIABETES,KIDNEY,LPA,MAMMOUSE,MHLTH,OBESITY,PHLTH,SLEEP,STROKE,TEETHLOST
31049,14.2,23.4,22.8,6.5,8.7,83.2,6.0,68.9,59.8,6.4,22.9,24.4,18.6,62.0,8.9,2.5,26.1,67.6,12.5,36.2,10.9,32.2,2.9,15.0
31051,15.4,21.8,23.5,6.3,8.3,83.9,5.7,67.4,53.4,5.9,25.0,21.8,16.8,65.0,8.7,2.5,27.2,66.6,11.6,37.5,10.4,30.0,2.8,14.8
31053,15.2,24.5,22.1,6.7,8.6,84.2,5.9,68.7,64.9,6.4,21.6,24.4,18.6,64.5,8.8,2.6,27.1,69.7,12.5,34.3,11.3,33.1,3.0,14.9
31055,14.9,23.0,23.7,6.4,9.0,85.9,5.2,72.1,65.6,5.7,26.5,25.6,17.6,67.6,9.8,2.5,23.3,72.2,11.9,32.7,10.4,32.2,2.8,11.0
31057,15.8,25.6,21.4,6.6,9.3,82.5,6.7,68.5,55.2,7.3,23.3,20.6,20.0,54.7,9.7,2.9,29.1,63.7,13.3,37.9,12.4,32.4,3.3,18.4
31059,12.9,23.9,24.9,6.5,8.6,84.1,5.7,69.0,61.2,6.0,23.6,23.6,17.3,66.1,8.4,2.4,24.4,69.4,11.9,39.9,10.4,31.6,2.8,14.1
31061,12.8,24.0,22.3,6.5,8.8,83.6,6.1,69.0,59.4,6.4,23.2,22.7,18.5,63.0,8.9,2.6,26.1,70.3,12.5,36.3,10.8,32.1,2.9,14.8
31063,11.8,24.0,23.0,6.6,8.5,84.5,5.8,68.7,62.1,6.0,24.5,25.7,17.0,66.8,8.3,2.5,24.1,69.3,12.0,37.4,10.1,32.2,2.8,12.7
31065,13.7,23.5,22.2,6.6,8.9,83.3,6.1,68.6,59.0,6.6,22.1,23.1,18.1,61.3,9.0,2.6,25.7,69.0,12.6,36.6,11.1,32.4,3.0,15.6
31067,12.8,24.5,23.4,6.5,8.6,84.2,5.9,67.7,59.8,6.2,19.8,23.4,18.9,61.8,8.7,2.5,24.4,67.4,12.4,38.4,10.6,31.5,2.9,14.7
31069,12.9,23.0,22.9,6.5,8.5,84.1,5.8,68.6,59.4,5.9,23.6,22.4,16.9,63.3,8.6,2.5,23.2,67.6,11.8,35.0,10.3,31.1,2.8,13.1
31071,11.1,22.5,23.6,6.6,8.3,84.2,5.6,69.5,58.0,5.7,23.9,23.5,16.5,66.1,8.2,2.4,23.6,67.9,11.6,34.1,10.1,30.5,2.7,12.1
31073,11.7,21.8,24.0,6.5,8.1,85.8,5.0,69.3,63.3,5.0,25.3,24.4,15.1,70.3,7.5,2.2,22.2,69.4,10.6,33.0,8.7,29.9,2.4,10.8
31075,12.4,23.9,22.5,6.5,8.7,83.5,6.5,68.8,59.3,6.6,22.8,22.4,18.2,63.4,9.2,2.7,25.3,67.4,12.5,37.2,11.2,31.1,3.1,14.8
31077,12.4,23.5,22.7,6.6,8.6,83.9,5.7,68.9,61.1,6.0,23.6,24.8,17.0,66.8,8.4,2.5,25.0,70.8,12.1,36.6,10.2,32.3,2.8,13.3
31079,18.3,22.0,20.7,6.4,8.1,83.3,5.9,70.3,60.3,6.3,23.5,20.1,16.2,63.0,10.0,2.7,28.8,67.1,12.3,37.4,11.0,30.6,3.0,15.2
31081,11.4,22.3,23.5,6.6,8.2,85.2,5.1,67.5,58.7,5.3,22.0,23.6,15.8,66.2,7.8,2.2,23.7,67.6,11.0,33.3,8.9,32.4,2.5,12.7
31083,12.7,24.8,22.7,6.5,8.7,83.1,6.0,68.4,60.5,6.3,23.2,23.8,17.9,66.0,8.7,2.6,24.8,68.3,12.2,36.5,10.6,31.1,2.9,13.7
31085,14.5,24.9,21.8,6.5,9.0,82.6,6.8,68.4,54.8,7.1,21.1,21.7,19.2,60.3,9.8,2.8,28.0,66.5,13.1,39.6,12.0,31.6,3.3,16.6
31087,13.7,23.9,22.0,6.6,8.8,82.7,6.2,68.8,56.2,6.6,22.3,21.4,18.4,57.8,9.5,2.7,27.2,66.9,12.8,39.6,11.3,32.5,3.1,16.1
31089,12.9,22.6,22.5,6.5,8.3,83.9,5.7,68.6,61.7,5.8,21.8,23.2,16.5,65.9,8.3,2.4,24.2,66.5,11.6,36.5,10.1,31.2,2.7,13.2
